dataset,run_id,technique,reviewers,config_path,command,status
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_001,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_001,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_002,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_002,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_003,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_003,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_004,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_004,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_005,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_005,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_006,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_006,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_007,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_007,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_008,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_008,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_009,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_009,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_010,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_010,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_011,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_011,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_012,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_012,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_013,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_013,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_014,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_014,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_015,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_015,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_016,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_016,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_017,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_017,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_018,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_018,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_019,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_019,planned
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_020,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_020,planned
