dataset,run_id,technique,reviewers,config_path,command,status,usage_file_exists
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_001,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_001,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_002,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_002,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_003,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_003,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_004,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_004,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_005,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_005,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_006,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_006,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_007,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_007,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_008,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_008,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_009,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_009,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_010,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_010,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_011,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_011,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_012,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_012,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_013,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_013,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_014,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_014,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_015,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_015,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_016,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_016,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_017,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_017,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_018,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_018,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_019,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_019,completed,true
costed_pbr_split_soft_n10,costed_pbr_split_soft_n10_020,PBR,10,configs/experiments/costed_pbr_split_soft_n10.yaml,fagan run --config configs/experiments/costed_pbr_split_soft_n10.yaml --run-id costed_pbr_split_soft_n10_020,completed,true
