dataset,run_id,technique,usage_file_exists,row_count,reviewer_call_count,reviewer_id_filled_for_reviewer_calls,usage_available_true_count,input_tokens_total,output_tokens_total,total_tokens_total,total_cost_usd,duration_seconds_total,usable_for_cost_analysis,notes
costed_split_soft_n10,costed_ubr_split_soft_n10_001,UBR,true,23,20,true,23,206109,9530,215639,0.03663435,158.310667,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_002,UBR,true,23,20,true,23,205893,9713,215606,0.03671175,131.779586,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_003,UBR,true,23,20,true,23,206360,9429,215789,0.0366114,168.051993,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_004,UBR,true,23,20,true,23,207363,11665,219028,0.03810345,162.663016,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_005,UBR,true,23,20,true,23,206482,9930,216412,0.0369303,138.126022,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_006,UBR,true,23,20,true,23,206276,10154,216430,0.0370338,165.302686,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_007,UBR,true,23,20,true,23,206196,10132,216328,0.0370086,127.784001,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_008,UBR,true,23,20,true,23,206107,9518,215625,0.03662685,130.812635,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_009,UBR,true,23,20,true,23,205836,9822,215658,0.0367686,141.851959,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_010,UBR,true,23,20,true,23,205985,9623,215608,0.03667155,123.386187,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_011,UBR,true,23,20,true,23,206406,9849,216255,0.0368703,117.391174,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_012,UBR,true,23,20,true,23,206484,9787,216271,0.0368448,116.799196,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_013,UBR,true,23,20,true,23,206226,10109,216335,0.0369993,128.607695,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_014,UBR,true,23,20,true,23,206207,9267,215474,0.03649125,110.902569,true,reviewer_id bei Reviewer-Calls gefüllt
