threshold,role,set,count,confirmed_gold_ids
0.65,main,UBR_confirmed,3,8 28 31
0.65,main,CBR_confirmed,2,8 31
0.65,main,UBR_union_CBR,3,8 28 31
0.65,main,UBR_intersection_CBR,2,8 31
0.65,main,UBR_union_CBR_union_PBR_supplementary,3,8 28 31
0.65,main,PBR_only_vs_UBR_union_CBR,0,
0.60,sensitivity,UBR_confirmed,5,8 25 27 28 31
0.60,sensitivity,CBR_confirmed,3,8 28 31
0.60,sensitivity,UBR_union_CBR,5,8 25 27 28 31
0.60,sensitivity,UBR_intersection_CBR,3,8 28 31
0.60,sensitivity,UBR_union_CBR_union_PBR_supplementary,5,8 25 27 28 31
0.60,sensitivity,PBR_only_vs_UBR_union_CBR,0,
