gold_id,gold_risk,technique,share,count,denom
4,A,UBR,0.0000,0,200
4,A,CBR,0.0000,0,200
5,A,UBR,0.0000,0,200
5,A,CBR,0.0000,0,200
6,A,UBR,0.0050,1,200
6,A,CBR,0.0000,0,200
8,A,UBR,0.1650,33,200
8,A,CBR,0.1000,20,200
14,A,UBR,0.0000,0,200
14,A,CBR,0.0000,0,200
15,A,UBR,0.0000,0,200
15,A,CBR,0.0000,0,200
17,A,UBR,0.0000,0,200
17,A,CBR,0.0000,0,200
20,A,UBR,0.0000,0,200
20,A,CBR,0.0000,0,200
22,A,UBR,0.0000,0,200
22,A,CBR,0.0000,0,200
23,A,UBR,0.0000,0,200
23,A,CBR,0.0000,0,200
26,A,UBR,0.0000,0,200
26,A,CBR,0.0000,0,200
30,A,UBR,0.0000,0,200
30,A,CBR,0.0000,0,200
36,A,UBR,0.0000,0,200
36,A,CBR,0.0000,0,200
