gold_id,gold_risk,technique,share,count,denom
1,B,UBR,0.0000,0,200
1,B,CBR,0.0000,0,200
3,B,UBR,0.0000,0,200
3,B,CBR,0.0000,0,200
7,B,UBR,0.0100,2,200
7,B,CBR,0.0200,4,200
10,B,UBR,0.0000,0,200
10,B,CBR,0.0000,0,200
11,B,UBR,0.0000,0,200
11,B,CBR,0.0000,0,200
13,B,UBR,0.0000,0,200
13,B,CBR,0.0000,0,200
16,B,UBR,0.0000,0,200
16,B,CBR,0.0000,0,200
18,B,UBR,0.0000,0,200
18,B,CBR,0.0000,0,200
21,B,UBR,0.0000,0,200
21,B,CBR,0.0000,0,200
27,B,UBR,0.0050,1,200
27,B,CBR,0.0000,0,200
29,B,UBR,0.0000,0,200
29,B,CBR,0.0000,0,200
31,B,UBR,0.0050,1,200
31,B,CBR,0.0750,15,200
35,B,UBR,0.0000,0,200
35,B,CBR,0.0000,0,200
