metric_group,metric,value,unit,note
setup,runs_total,40,runs,"20 UBR + 20 CBR, n=10"
setup,total_gold,36,faults,A=13 B=13 C=10
automatic_coverage,automatic_union_tp@t0.65,5,faults,8 28 31 32 38
automatic_coverage,automatic_recall@t0.65,0.1389,ratio,of 36 gold
human_validation,human_confirmed_tp@t0.65,3,faults,8 28 31
human_validation,human_confirmed_recall@t0.65,0.0833,ratio,of 36 gold
automatic_coverage,automatic_union_tp@t0.60,9,faults,6 7 8 25 27 28 31 32 38
automatic_coverage,automatic_recall@t0.60,0.25,ratio,of 36 gold
human_validation,human_confirmed_tp@t0.60,5,faults,8 25 27 28 31
human_validation,human_confirmed_recall@t0.60,0.1389,ratio,of 36 gold
api_usage,total_tokens,8516222,tokens,real response.usage
api_usage,input_tokens,8098793,tokens,
api_usage,output_tokens,417429,tokens,
api_usage,technical_duration,5768.845659,seconds,"API time, not human effort"
api_cost,total_cost_usd,1.465276,USD,"list-price-based, not billing"
api_cost,ubr_cost_usd,0.740605,USD,
api_cost,cbr_cost_usd,0.724671,USD,
api_cost,cost_per_automatic_tp_usd@t0.65,0.293055,USD,
api_cost,cost_per_confirmed_tp_usd@t0.65,0.488425,USD,
api_cost,cost_per_automatic_tp_usd@t0.60,0.162808,USD,
api_cost,cost_per_confirmed_tp_usd@t0.60,0.293055,USD,
personnel_context,eur_per_defect_low,34.72,EUR,literature estimate; no USD/EUR conversion
personnel_context,eur_per_defect_medium,68.57,EUR,literature estimate; no USD/EUR conversion
personnel_context,eur_per_defect_high,117.18,EUR,literature estimate; no USD/EUR conversion
complementarity,cbr_only_count@t0.65,0,faults,CBR-unique gold IDs
complementarity,ubr_only_count@t0.65,1,faults,UBR-unique gold IDs
complementarity,cbr_only_count@t0.60,0,faults,CBR-unique gold IDs
complementarity,ubr_only_count@t0.60,3,faults,UBR-unique gold IDs
