run_id,technique,n_reviewers,k_star,threshold,tp,fp,fn,precision,recall,f1,recall_A,recall_B
costed_ubr_split_soft_n10_001,UBR,10,10,0.6,1,33,35,0.0294,0.0278,0.0286,0.0769,0.0000
costed_ubr_split_soft_n10_002,UBR,10,10,0.6,2,32,34,0.0588,0.0556,0.0571,0.0769,0.0000
costed_ubr_split_soft_n10_003,UBR,10,10,0.6,2,35,34,0.0541,0.0556,0.0548,0.0769,0.0000
costed_ubr_split_soft_n10_004,UBR,10,10,0.6,4,30,32,0.1176,0.1111,0.1143,0.0769,0.0769
costed_ubr_split_soft_n10_005,UBR,10,10,0.6,2,37,34,0.0513,0.0556,0.0533,0.0769,0.0000
costed_ubr_split_soft_n10_006,UBR,10,10,0.6,3,30,33,0.0909,0.0833,0.0870,0.0769,0.0000
costed_ubr_split_soft_n10_007,UBR,10,10,0.6,2,31,34,0.0606,0.0556,0.0580,0.0769,0.0000
costed_ubr_split_soft_n10_008,UBR,10,10,0.6,4,25,32,0.1379,0.1111,0.1231,0.0769,0.0769
costed_ubr_split_soft_n10_009,UBR,10,10,0.6,4,33,32,0.1081,0.1111,0.1096,0.0769,0.0000
costed_ubr_split_soft_n10_010,UBR,10,10,0.6,2,30,34,0.0625,0.0556,0.0588,0.0000,0.0000
costed_ubr_split_soft_n10_011,UBR,10,10,0.6,3,36,33,0.0769,0.0833,0.0800,0.0769,0.0000
costed_ubr_split_soft_n10_012,UBR,10,10,0.6,3,35,33,0.0789,0.0833,0.0811,0.0769,0.0769
costed_ubr_split_soft_n10_013,UBR,10,10,0.6,3,34,33,0.0811,0.0833,0.0822,0.0769,0.0769
costed_ubr_split_soft_n10_014,UBR,10,10,0.6,2,29,34,0.0645,0.0556,0.0597,0.1538,0.0000
costed_ubr_split_soft_n10_015,UBR,10,10,0.6,3,31,33,0.0882,0.0833,0.0857,0.0769,0.0000
costed_ubr_split_soft_n10_016,UBR,10,10,0.6,2,32,34,0.0588,0.0556,0.0571,0.0769,0.0000
costed_ubr_split_soft_n10_017,UBR,10,10,0.6,3,30,33,0.0909,0.0833,0.0870,0.0769,0.0000
costed_ubr_split_soft_n10_018,UBR,10,10,0.6,4,33,32,0.1081,0.1111,0.1096,0.0769,0.0000
costed_ubr_split_soft_n10_019,UBR,10,10,0.6,2,39,34,0.0488,0.0556,0.0519,0.0769,0.0000
costed_ubr_split_soft_n10_020,UBR,10,10,0.6,3,30,33,0.0909,0.0833,0.0870,0.0769,0.0000
costed_cbr_split_soft_n10_001,CBR,10,10,0.6,3,26,33,0.1034,0.0833,0.0923,0.0769,0.0769
costed_cbr_split_soft_n10_002,CBR,10,10,0.6,2,24,34,0.0769,0.0556,0.0645,0.0769,0.0000
costed_cbr_split_soft_n10_003,CBR,10,10,0.6,2,29,34,0.0645,0.0556,0.0597,0.0000,0.0769
costed_cbr_split_soft_n10_004,CBR,10,10,0.6,3,25,33,0.1071,0.0833,0.0938,0.0769,0.0769
costed_cbr_split_soft_n10_005,CBR,10,10,0.6,3,24,33,0.1111,0.0833,0.0952,0.0769,0.0000
costed_cbr_split_soft_n10_006,CBR,10,10,0.6,4,26,32,0.1333,0.1111,0.1212,0.0769,0.1538
costed_cbr_split_soft_n10_007,CBR,10,10,0.6,5,25,31,0.1667,0.1389,0.1515,0.0769,0.1538
costed_cbr_split_soft_n10_008,CBR,10,10,0.6,2,24,34,0.0769,0.0556,0.0645,0.0769,0.0000
costed_cbr_split_soft_n10_009,CBR,10,10,0.6,3,27,33,0.1000,0.0833,0.0909,0.0769,0.0000
costed_cbr_split_soft_n10_010,CBR,10,10,0.6,4,21,32,0.1600,0.1111,0.1311,0.0769,0.0769
costed_cbr_split_soft_n10_011,CBR,10,10,0.6,3,25,33,0.1071,0.0833,0.0938,0.0769,0.0769
costed_cbr_split_soft_n10_012,CBR,10,10,0.6,3,29,33,0.0938,0.0833,0.0882,0.0769,0.0000
costed_cbr_split_soft_n10_013,CBR,10,10,0.6,3,23,33,0.1154,0.0833,0.0968,0.0769,0.0769
costed_cbr_split_soft_n10_014,CBR,10,10,0.6,4,25,32,0.1379,0.1111,0.1231,0.0769,0.0769
costed_cbr_split_soft_n10_015,CBR,10,10,0.6,4,23,32,0.1481,0.1111,0.1270,0.0769,0.0769
costed_cbr_split_soft_n10_016,CBR,10,10,0.6,3,26,33,0.1034,0.0833,0.0923,0.0769,0.0769
costed_cbr_split_soft_n10_017,CBR,10,10,0.6,4,22,32,0.1538,0.1111,0.1290,0.0769,0.0769
costed_cbr_split_soft_n10_018,CBR,10,10,0.6,5,22,31,0.1852,0.1389,0.1587,0.0769,0.1538
costed_cbr_split_soft_n10_019,CBR,10,10,0.6,3,28,33,0.0968,0.0833,0.0896,0.0769,0.0769
costed_cbr_split_soft_n10_020,CBR,10,10,0.6,2,24,34,0.0769,0.0556,0.0645,0.0000,0.0000
