run_id,technique,n_reviewers,reviewer_id,defect_id,fault_type,position,page_hint,description_raw,description_norm,source,timestamp
costed_ubr_split_soft_n10_006,UBR,10,reviewer_1_ubr,h:477ab0e330bb81d0,M,3.4.1,p. 5,'Reject_Order': A signal is missing for not confirming orders.,reject order a signal is missing for not confirming orders,reviewer,2026-06-11T21:04:26.953227
costed_ubr_split_soft_n10_006,UBR,10,reviewer_1_ubr,h:8438f663ed62ca32,M,3.4.1,p. 5,'Order': The signal has wrong parameter types in Table 1.,order the signal has wrong parameter types in table 1,reviewer,2026-06-11T21:04:26.953227
costed_ubr_split_soft_n10_006,UBR,10,reviewer_1_ubr,h:b5f7f29ef674c3ad,W,3.1,p. 3,'Order_struct': The definition of 'Address' is inconsistent with the use case.,order struct the definition of address is inconsistent with the use case,reviewer,2026-06-11T21:04:26.953227
costed_ubr_split_soft_n10_006,UBR,10,reviewer_1_ubr,h:b914c2d49bc4449c,M,3.2.1,p. 4,'Start_Voice': Missing timeout specification for voice communication initiation.,start voice missing timeout specification for voice communication initiation,reviewer,2026-06-11T21:04:26.953227
costed_ubr_split_soft_n10_006,UBR,10,reviewer_1_ubr,h:e06ec9e659074d58,W,3.4.2,p. 5,'Ack': The signal parameters do not match the expected types in the use case.,ack the signal parameters do not match the expected types in the use case,reviewer,2026-06-11T21:04:26.953227
costed_ubr_split_soft_n10_006,UBR,10,reviewer_2_ubr,h:9c5a6abd822817c9,M,3.2.1,p. 3,'Order': A signal is missing for confirming orders from the taxi to the central.,order a signal is missing for confirming orders from the taxi to the central,reviewer,2026-06-11T21:04:39.550069
costed_ubr_split_soft_n10_006,UBR,10,reviewer_2_ubr,h:ab438724e095be69,M,3.2.1,p. 3,'Reject_Order': A signal is missing for not confirming orders.,reject order a signal is missing for not confirming orders,reviewer,2026-06-11T21:04:39.550069
costed_ubr_split_soft_n10_006,UBR,10,reviewer_2_ubr,h:71580b4188893b2a,M,3.2.1,p. 3,'Order': The signal has wrong parameter types in Table 1.,order the signal has wrong parameter types in table 1,reviewer,2026-06-11T21:04:39.550069
costed_ubr_split_soft_n10_006,UBR,10,reviewer_2_ubr,h:7769df50d0dd6700,W,3.4.1,p. 5,'Confirm': The signal has wrong parameter types in Table 1.,confirm the signal has wrong parameter types in table 1,reviewer,2026-06-11T21:04:39.550069
costed_ubr_split_soft_n10_006,UBR,10,reviewer_2_ubr,h:0194298422a1c305,M,3.4.2,p. 6,'Order_Cancel': A signal is missing for canceling orders after acceptance.,order cancel a signal is missing for canceling orders after acceptance,reviewer,2026-06-11T21:04:39.550069
costed_ubr_split_soft_n10_006,UBR,10,reviewer_3_ubr,h:729c69526c94da64,M,3.2.2,p. 3,'Reject_Order': A signal is missing for not confirming orders.,reject order a signal is missing for not confirming orders,reviewer,2026-06-11T21:04:51.496774
costed_ubr_split_soft_n10_006,UBR,10,reviewer_3_ubr,h:13c4d62c3418e30c,M,3.2.2,p. 3,'Order': The signal has wrong parameter types in Table 1.,order the signal has wrong parameter types in table 1,reviewer,2026-06-11T21:04:51.496774
costed_ubr_split_soft_n10_006,UBR,10,reviewer_3_ubr,h:2c0de02e8b5ed667,W,3.2.2,p. 3,'LoginOk': The signal is incorrectly defined with missing parameters.,loginok the signal is incorrectly defined with missing parameters,reviewer,2026-06-11T21:04:51.496774
costed_ubr_split_soft_n10_006,UBR,10,reviewer_3_ubr,h:d9080371c17cd7e0,M,3.2.2,p. 3,'AlarmReset': Missing acknowledgment signal for alarm reset.,alarmreset missing acknowledgment signal for alarm reset,reviewer,2026-06-11T21:04:51.496774
costed_ubr_split_soft_n10_006,UBR,10,reviewer_3_ubr,h:4e23256d7a34bc62,W,3.2.2,p. 3,'Start_Voice': The signal has inconsistent parameter types in the design.,start voice the signal has inconsistent parameter types in the design,reviewer,2026-06-11T21:04:51.496774
costed_ubr_split_soft_n10_006,UBR,10,reviewer_4_ubr,h:a94bb803d62a73dc,M,3.3.1,p. 5,'Allocate_car': A signal is missing for confirming car allocation.,allocate car a signal is missing for confirming car allocation,reviewer,2026-06-11T21:05:04.590278
costed_ubr_split_soft_n10_006,UBR,10,reviewer_4_ubr,h:61e59dfa8464e012,M,3.3.1,p. 5,'Get_Order': Missing acknowledgment signal for order retrieval.,get order missing acknowledgment signal for order retrieval,reviewer,2026-06-11T21:05:04.590278
costed_ubr_split_soft_n10_006,UBR,10,reviewer_4_ubr,h:1bafe54b409bab56,M,3.4.1,p. 6,'Confirm': Missing acknowledgment for order confirmation from the central.,confirm missing acknowledgment for order confirmation from the central,reviewer,2026-06-11T21:05:04.590278
costed_ubr_split_soft_n10_006,UBR,10,reviewer_4_ubr,h:60d233dc431d753e,M,3.4.2,p. 6,'Ack': Missing acknowledgment signal for order acceptance.,ack missing acknowledgment signal for order acceptance,reviewer,2026-06-11T21:05:04.590278
costed_ubr_split_soft_n10_006,UBR,10,reviewer_4_ubr,h:98c96d152fc2a877,M,3.4.2,p. 6,'Order_Reject': Missing acknowledgment signal for order rejection.,order reject missing acknowledgment signal for order rejection,reviewer,2026-06-11T21:05:04.590278
costed_ubr_split_soft_n10_006,UBR,10,reviewer_5_ubr,h:9301d8886469ff38,M,3.3.2,p. 5,'Ack': A signal is missing for acknowledging order reception from the taxi.,ack a signal is missing for acknowledging order reception from the taxi,reviewer,2026-06-11T21:05:23.889304
