run_id,technique,n_reviewers,union_unique_total,k95,k_plateau,k_star,cumulative_at_k_star,remaining_after_k_star
costed_ubr_split_soft_n10_001,UBR,10,45,10,,10,45,0
costed_ubr_split_soft_n10_002,UBR,10,44,10,,10,44,0
costed_ubr_split_soft_n10_003,UBR,10,46,10,,10,46,0
costed_ubr_split_soft_n10_004,UBR,10,50,10,,10,50,0
costed_ubr_split_soft_n10_005,UBR,10,46,10,,10,46,0
costed_ubr_split_soft_n10_006,UBR,10,46,10,,10,46,0
costed_ubr_split_soft_n10_007,UBR,10,44,10,,10,44,0
costed_ubr_split_soft_n10_008,UBR,10,44,10,,10,44,0
costed_ubr_split_soft_n10_009,UBR,10,44,10,,10,44,0
costed_ubr_split_soft_n10_010,UBR,10,44,10,,10,44,0
costed_ubr_split_soft_n10_011,UBR,10,46,10,,10,46,0
costed_ubr_split_soft_n10_012,UBR,10,47,10,,10,47,0
costed_ubr_split_soft_n10_013,UBR,10,45,10,,10,45,0
costed_ubr_split_soft_n10_014,UBR,10,46,10,,10,46,0
costed_ubr_split_soft_n10_015,UBR,10,45,10,,10,45,0
costed_ubr_split_soft_n10_016,UBR,10,46,10,,10,46,0
costed_ubr_split_soft_n10_017,UBR,10,45,10,,10,45,0
costed_ubr_split_soft_n10_018,UBR,10,45,10,,10,45,0
costed_ubr_split_soft_n10_019,UBR,10,46,10,,10,46,0
costed_ubr_split_soft_n10_020,UBR,10,46,10,,10,46,0
costed_cbr_split_soft_n10_001,CBR,10,45,10,,10,45,0
costed_cbr_split_soft_n10_002,CBR,10,44,10,,10,44,0
costed_cbr_split_soft_n10_003,CBR,10,49,10,,10,49,0
costed_cbr_split_soft_n10_004,CBR,10,45,10,,10,45,0
costed_cbr_split_soft_n10_005,CBR,10,47,10,,10,47,0
costed_cbr_split_soft_n10_006,CBR,10,49,10,,10,49,0
costed_cbr_split_soft_n10_007,CBR,10,44,10,,10,44,0
costed_cbr_split_soft_n10_008,CBR,10,46,10,,10,46,0
costed_cbr_split_soft_n10_009,CBR,10,48,10,,10,48,0
costed_cbr_split_soft_n10_010,CBR,10,46,10,,10,46,0
costed_cbr_split_soft_n10_011,CBR,10,50,10,,10,50,0
costed_cbr_split_soft_n10_012,CBR,10,49,10,,10,49,0
costed_cbr_split_soft_n10_013,CBR,10,43,10,,10,43,0
costed_cbr_split_soft_n10_014,CBR,10,46,10,,10,46,0
costed_cbr_split_soft_n10_015,CBR,10,46,10,,10,46,0
costed_cbr_split_soft_n10_016,CBR,10,49,10,,10,49,0
costed_cbr_split_soft_n10_017,CBR,10,52,10,,10,52,0
costed_cbr_split_soft_n10_018,CBR,10,44,10,,10,44,0
costed_cbr_split_soft_n10_019,CBR,10,46,10,,10,46,0
costed_cbr_split_soft_n10_020,CBR,10,44,10,,10,44,0
