dataset,run_id,technique,reviewers,config_path,command,status
costed_split_soft_n10,costed_ubr_split_soft_n10_001,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_001,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_002,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_002,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_003,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_003,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_004,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_004,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_005,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_005,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_006,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_006,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_007,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_007,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_008,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_008,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_009,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_009,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_010,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_010,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_011,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_011,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_012,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_012,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_013,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_013,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_014,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_014,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_015,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_015,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_016,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_016,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_017,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_017,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_018,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_018,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_019,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_019,planned
costed_split_soft_n10,costed_ubr_split_soft_n10_020,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_020,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_001,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_001,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_002,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_002,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_003,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_003,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_004,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_004,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_005,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_005,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_006,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_006,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_007,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_007,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_008,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_008,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_009,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_009,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_010,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_010,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_011,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_011,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_012,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_012,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_013,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_013,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_014,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_014,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_015,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_015,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_016,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_016,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_017,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_017,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_018,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_018,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_019,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_019,planned
costed_split_soft_n10,costed_cbr_split_soft_n10_020,CBR,10,configs/experiments/costed_split_soft_n10_cbr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_cbr.yaml --run-id costed_cbr_split_soft_n10_020,planned
