dataset,run_id,technique,reviewers,config_path,command,status,usage_file_exists
costed_split_soft_n10,costed_ubr_split_soft_n10_001,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_001,skipped_exists,
costed_split_soft_n10,costed_ubr_split_soft_n10_002,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_002,skipped_exists,
costed_split_soft_n10,costed_ubr_split_soft_n10_003,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_003,skipped_exists,
costed_split_soft_n10,costed_ubr_split_soft_n10_004,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_004,skipped_exists,
costed_split_soft_n10,costed_ubr_split_soft_n10_005,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_005,skipped_exists,
costed_split_soft_n10,costed_ubr_split_soft_n10_006,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_006,skipped_exists,
costed_split_soft_n10,costed_ubr_split_soft_n10_007,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_007,skipped_exists,
costed_split_soft_n10,costed_ubr_split_soft_n10_008,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_008,skipped_exists,
costed_split_soft_n10,costed_ubr_split_soft_n10_009,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_009,skipped_exists,
costed_split_soft_n10,costed_ubr_split_soft_n10_010,UBR,10,configs/experiments/costed_split_soft_n10_ubr.yaml,fagan run --config configs/experiments/costed_split_soft_n10_ubr.yaml --run-id costed_ubr_split_soft_n10_010,skipped_exists,
