run_id,technique,phase,agent_role,reviewer_id,call_id,model,start_time_utc,end_time_utc,duration_seconds,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,usage_available,error
costed_cbr_split_soft_n10_020,CBR,planning,moderator,,e764221c9591,gpt-4o-mini,2026-06-11T22:16:27.736601+00:00,2026-06-11T22:16:30.066899+00:00,2.330298,877,159,1036,0.00013155,9.54e-05,0.00022695,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_1_cbr,be80d34b803a,gpt-4o-mini,2026-06-11T22:16:30.073445+00:00,2026-06-11T22:16:35.383614+00:00,5.310169,17735,422,18157,0.00266025,0.0002532,0.00291345,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_1_cbr,eac36ba5c70e,gpt-4o-mini,2026-06-11T22:16:35.384486+00:00,2026-06-11T22:16:39.275556+00:00,3.89107,1136,282,1418,0.0001704,0.0001692,0.0003396,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_2_cbr,8747333dab59,gpt-4o-mini,2026-06-11T22:16:39.281762+00:00,2026-06-11T22:16:45.621739+00:00,6.339977,17738,430,18168,0.0026607,0.000258,0.0029187,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_2_cbr,7672c9aeadcd,gpt-4o-mini,2026-06-11T22:16:45.622341+00:00,2026-06-11T22:16:49.823137+00:00,4.200796,1158,299,1457,0.0001737,0.0001794,0.0003531,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_3_cbr,c44584c6b6f4,gpt-4o-mini,2026-06-11T22:16:49.829822+00:00,2026-06-11T22:16:56.274102+00:00,6.44428,17741,505,18246,0.00266115,0.000303,0.00296415,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_3_cbr,dc3828858f98,gpt-4o-mini,2026-06-11T22:16:56.275123+00:00,2026-06-11T22:17:00.788937+00:00,4.513814,1250,349,1599,0.0001875,0.0002094,0.0003969,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_4_cbr,22a029c37c79,gpt-4o-mini,2026-06-11T22:17:00.796120+00:00,2026-06-11T22:17:07.022139+00:00,6.226019,17734,434,18168,0.0026601,0.0002604,0.0029205,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_4_cbr,7396962a5047,gpt-4o-mini,2026-06-11T22:17:07.022554+00:00,2026-06-11T22:17:11.325429+00:00,4.302875,1166,303,1469,0.0001749,0.0001818,0.0003567,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_5_cbr,46e6d0aef29e,gpt-4o-mini,2026-06-11T22:17:11.332218+00:00,2026-06-11T22:17:23.099293+00:00,11.767075,17738,939,18677,0.0026607,0.0005634,0.0032241,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_5_cbr,c55b6852883a,gpt-4o-mini,2026-06-11T22:17:23.099991+00:00,2026-06-11T22:17:32.726550+00:00,9.626559,1731,670,2401,0.00025965,0.000402,0.00066165,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_6_cbr,ab286e4f0e69,gpt-4o-mini,2026-06-11T22:17:32.735014+00:00,2026-06-11T22:17:39.179299+00:00,6.444285,17747,436,18183,0.00266205,0.0002616,0.00292365,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_6_cbr,0998d7a4883e,gpt-4o-mini,2026-06-11T22:17:39.179683+00:00,2026-06-11T22:17:42.555446+00:00,3.375763,1145,281,1426,0.00017175,0.0001686,0.00034035,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_7_cbr,596b27be1398,gpt-4o-mini,2026-06-11T22:17:42.563067+00:00,2026-06-11T22:17:46.448175+00:00,3.885108,17747,322,18069,0.00266205,0.0001932,0.00285525,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_7_cbr,ca04b1c68e86,gpt-4o-mini,2026-06-11T22:17:46.448763+00:00,2026-06-11T22:17:49.433323+00:00,2.98456,1031,213,1244,0.00015465,0.0001278,0.00028245,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_8_cbr,1c522a7eeb4c,gpt-4o-mini,2026-06-11T22:17:49.441500+00:00,2026-06-11T22:17:55.570383+00:00,6.128883,17740,516,18256,0.002661,0.0003096,0.0029706,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_8_cbr,a81f70752754,gpt-4o-mini,2026-06-11T22:17:55.571405+00:00,2026-06-11T22:18:00.477420+00:00,4.906015,1247,353,1600,0.00018705,0.0002118,0.00039885,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_9_cbr,7650a488315f,gpt-4o-mini,2026-06-11T22:18:00.488519+00:00,2026-06-11T22:18:05.391553+00:00,4.903034,17740,416,18156,0.002661,0.0002496,0.0029106,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_9_cbr,7a3f87a389ed,gpt-4o-mini,2026-06-11T22:18:05.392044+00:00,2026-06-11T22:18:09.080513+00:00,3.688469,1138,284,1422,0.0001707,0.0001704,0.0003411,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_10_cbr,6eaac38b378a,gpt-4o-mini,2026-06-11T22:18:09.091513+00:00,2026-06-11T22:18:15.017722+00:00,5.926209,17735,531,18266,0.00266025,0.0003186,0.00297885,true,
costed_cbr_split_soft_n10_020,CBR,individual_inspection,reviewer,reviewer_10_cbr,c0c90640501f,gpt-4o-mini,2026-06-11T22:18:15.018746+00:00,2026-06-11T22:18:19.418697+00:00,4.399951,1257,373,1630,0.00018855,0.0002238,0.00041235,true,
