run_id,technique,phase,agent_role,reviewer_id,call_id,model,start_time_utc,end_time_utc,duration_seconds,input_tokens,output_tokens,total_tokens,input_cost,output_cost,total_cost,usage_available,error
costed_ubr_split_soft_n10_002,UBR,planning,moderator,,eac2eb7d45a8,gpt-4o-mini,2026-06-11T20:57:46.265261+00:00,2026-06-11T20:57:49.000611+00:00,2.73535,878,177,1055,0.0001317,0.0001062,0.0002379,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_1_ubr,f0798203e373,gpt-4o-mini,2026-06-11T20:57:49.009596+00:00,2026-06-11T20:57:55.785584+00:00,6.775988,18557,511,19068,0.00278355,0.0003066,0.00309015,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_1_ubr,a589c0afd64b,gpt-4o-mini,2026-06-11T20:57:55.786466+00:00,2026-06-11T20:58:00.922352+00:00,5.135886,1244,343,1587,0.0001866,0.0002058,0.0003924,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_2_ubr,2d3bb8af2285,gpt-4o-mini,2026-06-11T20:58:00.928616+00:00,2026-06-11T20:58:10.018842+00:00,9.090226,18566,579,19145,0.0027849,0.0003474,0.0031323,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_2_ubr,faf6d3c15be1,gpt-4o-mini,2026-06-11T20:58:10.019592+00:00,2026-06-11T20:58:15.647768+00:00,5.628176,1318,410,1728,0.0001977,0.000246,0.0004437,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_3_ubr,3a21eba7251f,gpt-4o-mini,2026-06-11T20:58:15.653659+00:00,2026-06-11T20:58:21.894540+00:00,6.240881,18562,533,19095,0.0027843,0.0003198,0.0031041,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_3_ubr,06e4c2f816c7,gpt-4o-mini,2026-06-11T20:58:21.894728+00:00,2026-06-11T20:58:26.400970+00:00,4.506242,1263,368,1631,0.00018945,0.0002208,0.00041025,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_4_ubr,e5f331cd0823,gpt-4o-mini,2026-06-11T20:58:26.406294+00:00,2026-06-11T20:58:32.855902+00:00,6.449608,18558,443,19001,0.0027837,0.0002658,0.0030495,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_4_ubr,4a74eb84362f,gpt-4o-mini,2026-06-11T20:58:32.856533+00:00,2026-06-11T20:58:37.992248+00:00,5.135715,1169,304,1473,0.00017535,0.0001824,0.00035775,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_5_ubr,b4c64ec68ad4,gpt-4o-mini,2026-06-11T20:58:38.000981+00:00,2026-06-11T20:58:45.142221+00:00,7.14124,18556,543,19099,0.0027834,0.0003258,0.0031092,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_5_ubr,82065052199d,gpt-4o-mini,2026-06-11T20:58:45.142415+00:00,2026-06-11T20:58:49.238693+00:00,4.096278,1273,371,1644,0.00019095,0.0002226,0.00041355,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_6_ubr,f6ace2a7acce,gpt-4o-mini,2026-06-11T20:58:49.246510+00:00,2026-06-11T20:58:54.169863+00:00,4.923353,18567,325,18892,0.00278505,0.000195,0.00298005,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_6_ubr,8fb264ef6e8e,gpt-4o-mini,2026-06-11T20:58:54.170261+00:00,2026-06-11T20:58:57.019456+00:00,2.849195,1033,213,1246,0.00015495,0.0001278,0.00028275,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_7_ubr,336b4d6cd976,gpt-4o-mini,2026-06-11T20:58:57.028168+00:00,2026-06-11T20:59:03.267685+00:00,6.239517,18568,533,19101,0.0027852,0.0003198,0.003105,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_7_ubr,22eafc42b9f5,gpt-4o-mini,2026-06-11T20:59:03.268303+00:00,2026-06-11T20:59:07.462464+00:00,4.194161,1265,365,1630,0.00018975,0.000219,0.00040875,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_8_ubr,bf303d4f7ef8,gpt-4o-mini,2026-06-11T20:59:07.469526+00:00,2026-06-11T20:59:13.505259+00:00,6.035733,18569,411,18980,0.00278535,0.0002466,0.00303195,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_8_ubr,e2654bb38c4d,gpt-4o-mini,2026-06-11T20:59:13.505645+00:00,2026-06-11T20:59:16.779467+00:00,3.273822,1120,270,1390,0.000168,0.000162,0.00033,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_9_ubr,640b95d26cca,gpt-4o-mini,2026-06-11T20:59:16.783390+00:00,2026-06-11T20:59:21.697107+00:00,4.913717,18557,349,18906,0.00278355,0.0002094,0.00299295,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_9_ubr,c17667257708,gpt-4o-mini,2026-06-11T20:59:21.697463+00:00,2026-06-11T20:59:25.180696+00:00,3.483233,1053,236,1289,0.00015795,0.0001416,0.00029955,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_10_ubr,7923f2102953,gpt-4o-mini,2026-06-11T20:59:25.191542+00:00,2026-06-11T20:59:37.980182+00:00,12.78864,18564,546,19110,0.0027846,0.0003276,0.0031122,true,
costed_ubr_split_soft_n10_002,UBR,individual_inspection,reviewer,reviewer_10_ubr,9ac47a69f9a4,gpt-4o-mini,2026-06-11T20:59:37.981169+00:00,2026-06-11T20:59:42.588127+00:00,4.606958,1269,373,1642,0.00019035,0.0002238,0.00041415,true,
costed_ubr_split_soft_n10_002,UBR,inspection_meeting,scribe,,b47fa95cb2af,gpt-4o-mini,2026-06-11T20:59:42.599780+00:00,2026-06-11T20:59:56.311600+00:00,13.71182,6684,1403,8087,0.0010026,0.0008418,0.0018444,true,
costed_ubr_split_soft_n10_002,UBR,followup,moderator,,1d28fc483191,gpt-4o-mini,2026-06-11T20:59:56.328273+00:00,2026-06-11T20:59:58.152120+00:00,1.823847,700,107,807,0.000105,6.42e-05,0.0001692,true,
